课程名称             上课教师                 课程描述
中国现代文学概述 | 韩蕾 | 中国现代文学概述SP2022 Hybrid 混合
微积分（2） | 	OLGA DANILKINA | 微积分（2）SP2022 Online 线上
工程数学B | Horst Hohberger | 工程数学BSP2022 Hybrid 混合
德语（2） | Quanbo Xie | 德语（2）SP2022-1 On-site 线下
心理学概论 | En-Ling Chiao | 心理学概论SP2022 On-site 线下
德语（2） | Quanbo Xie | 德语（2）SP2022-2 On-site 线下
德语（1） | Quanbo Xie | 德语（1）SP2022-2 On-site 线下
德语（1） | Quanbo Xie | 德语（1）SP2022-3 On-site 线下
线性代数 | 	OLGA DANILKINA | 线性代数SP2022 Online 线上
德语（6） | Quanbo Xie | 德语（6）SP2022 On-site 线下
英语写作 | 	PETER JOHN WEISE | 英语写作SP2022-11 Peter Weise-Morning  On-site 线下
品牌管理 | 李杰 | Branding and Brand ManagementSP2022 On-site 线下
英语写作 | JOELLE ELIZABETH TYBON | 英语写作SP2022-1 Joelle Tybon-Morning On-site 线下
英语写作 | JOELLE ELIZABETH TYBON | 英语写作SP2022-2 Joelle Tybon-Afternoon On-site 线下
应用数学分析方法II | Horst Hohberger | 应用数学分析方法IISP2022
德语（2） | Quanbo Xie | 德语（2）SP2022-3 On-site 线下
文化与科技 | Irene Wei | 文化与科技SP2022 On-site 线下
英语写作 | Ryan Thorpe | 英语写作SP2022-4 Ryan Thorpe-Afternoon On-site 线下
英语写作 | Amalia Jiva | 英语写作SP2022-13 Amalia Jiva-Morning Online 线上
英语写作 | Kyung MinKim | 英语写作SP2022-6 Kyung Min Kim-Afternoon On-site 线下
英语写作 | 	PETER JOHN WEISE | 英语写作SP2022-12 Peter Weise-Afternoon On-site 线下
英语写作 | Ryan Thorpe | 英语写作SP2022-3 Ryan Thorpe-Morning On-site 线下
英语写作 | Kyung MinKim | 英语写作SP2022-5 Kyung Min Kim-Morning On-site 线下
英语写作 | Andrew Yang | 英语写作SP2022-9 Andrew Yang-Morning Hybrid 混合
英语写作 | Andrew Yang | 英语写作SP2022-10 Andrew Yang-Afternoon Hybrid 混合
英语写作 | MICHELE MARIE CAMPBELL | 英语写作SP2022-8 Michele Campbell-Afternoon  On-site 线下
英语写作 | MICHELE MARIE CAMPBELL | 英语写作SP2022-7 Michele Campbell-Morning  On-site 线下
汉语一（下） | 王骏 | 汉语一（下）SP2022 Online 线上
中国文化概论 | 杜燕 | 中国文化概论SP2022 Online 线上
汉语四（下） | 郝丽霞 | Chinese Language (level 4 part 2)SP2022 Online 线上
汉语二（上） | 王骏 | 汉语二（上）SP2022 Online 线上
汉语五（上） | 郝丽霞 | Chinese Language (level 5 part 1) SP2022 Online 线上
新时代社会认知实践 | None | 新时代社会认知实践SP2022 On-site 线下
